id,abstract_number,udc,language,country,abstract,real_id,content,comment,pages,bic,mac,ilc,tbc,source_name,volume,issue,generation_date,publication_year,type,verified,create_time,verification_time,deponire_number,deponire_date,deponire_place,patent_number,appeletion_date,priore_date,patent_publication_date,patent_place,ipc,issn,isbn,resume_language,authors,key_words,referends,subjects,rubrics
87155,13.08-59.245,,английский,США,"Описаны процессы агрегации данных и распространения авторитетных записей на основе анализа Виртуальной библиотеки полиматов (Polymath Virtual Library) посредством открытых связанных данных. Цель работы состояла в том, чтобы объединить информацию, данные, цифровые тексты и Веб-сайты об испанских, испано-американских, бразильских и португальских полиматах (универсальных людях) всех времен. Агрегирована информация о мышлении, философии, политике, науке Испании, испано-американских стран, Португалии и Бразилии, записанная на любом языке (латинском, арабском, иврите, испанском, португальском и т. д.) в любое время (начиная от Сенеки в первом веке до н. э. и до настоящего времени). Основой системы стали авторы. Для каждого автора в формате MARC21/RDA составляется авторитетная запись и дополняется биографическими данными. Конкретные атрибуты классифицированы для усиления связей и возможностей навигации на сайте (профессия, занятие, пол, принадлежность к организациям, даты рождения и смерти, место рождения и смерти, используемые языки или письменность) и доступность для просмотра в цифровой библиотеке Europeana и открытых связанных данных. Таким образом, каждая авторитетная запись агрегирует информацию из нескольких источников и словарей. Кроме того, для каждого автора описаны, согласно MARC/RDA (12-я обновленная редакция), цифровые версии его произведений. Экспорт данных производится в MARC 21, модель данных Europeana 5.2.1, SKOS и VIAF, после семантического обогащения из таких словарей как LCSH, VIAF, GeoLinkedData (института Geografico Nacional) и GeoNames. Еще одним богатым источником информации, аналогичным Europeana, будет Цифровая публичная библиотека Америки (the Digital Public Library of America), основанная в декабре 2010 г., использующая модель взаимодействия, сходную с Europeana",2013-08 IN00 БД ВИНИТИ,,,803-829,94,,5,,"Cat. and Classif. Quart.. 2012. 50, N 5-8, с. 803-829, 5 ил.. Библ. 94. Англ.",50,5,2013-08-01,2012,1,f,2018-11-22 14:33:54.867604,,,,,,,,,,,0163-9374,,английский,"{""Agenjo Xavier"",""Hernandez Francisca"",""Viedma Andres""}","{""авторитетные записи"",""агрегация данных"",""Библиографическая информация"",""связанные данные""}","{{UNKNOWN,UNKNOWN,NULL}}",{Информатика},"{20.19.15,201.19.15}"
34166,15.06-01Б.65,,английский,Нидерланды,"В Облачных Вычислениях и Сервис-Ориентированных Архитектурах наблюдается резкое возрастание числа приложений, услуг, управленческих платформ и данных, что требует разработки новых комплексных методов и технологий для решения проблемы разнородности источников данных и услуг. В связи с этим QoS (Качество Обслуживания) управление стремится обеспечить интеллектуальную среду самоуправляемых компонентов на базе предметных знаний, где облачные компоненты могут быть оптимизированы, облегчая переход к расширенной среде управления. С другой стороны, развивающиеся семантика и онтологии обеспечивают общую и стандартную модель данных, облегчающую совместимость, интеграцию и мониторинг систем на базе знаний. В соответствии с потребностью в интероперабельной и интеллектуальной системе для управления QoS в системах на базе облаков и применения семантики в различных областях здесь представлен обзор главных подходов для QoS управления на базе семантики, а также главных методов и стандартов для обработки разнообразных данных, обеспечивающих услуги мониторинга в реальном времени.",2015-06 AB22 БД ВИНИТИ,,,307-323,,,,,"Future Generat. Comput. Syst.. 2014. 32, с. 307-323. Англ.",32,,2015-06-01,2014,1,f,2018-11-22 14:30:14.982983,,,,,,,,,,,0167-739X,,английский,"{""Alvarez-Rodriguez Jose Maria"",""Kourtesis Dimitrios"",""Paraskakis Iraklis""}","{""Облачные вычисления"",онтологии,""сервисно-ориентированные архитектуры""}","{{UNKNOWN,UNKNOWN,NULL}}","{""Автоматика и радиотехника""}","{50.07.05,502.07.05.05.15}"
